reference_id,date,time_of_day,time_of_day_recode,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_coastal_state_cow_code,latitude,longitude,location_precision,geolocation_source_imb,geolocation_source_imo,geolocation_source_asam,location_description,vessel_name,vessel_country,vessel_country_cow_code,vessel_status,violence_dummy,steaming_recode,incident_type_recode,incident_action_recode
"5020","11/8/2010","2:20","4",,"Boarded","Brazil","Brazil","140","-1.5267","-48.7767","1","1",".",".","Vila do Conde Anchorage, Brazil","Alcyone","Greece","350","Anchored",,"2","1","2"
"5022","11/9/2010","7:40","1",,"Boarded","Colombia","Colombia","100","3.9167","-77.05","2","1",".",".","Buenaventura Anchorage No. 5, Colombia","UBC Bremen","Cyprus","352","Anchored","1","2","1","2"
"5023","11/9/2010","8:34","1",,"Fired Upon","Internationa Waters (Arabian Sea)","Maldives","781","6.05","65","1","1",".",".","(indian Ocean), Around 900 NM East of Eyl, Off Somalia","Konrad Schulte","Cyprus","352","Steaming","1","1",,"3"
"5021","11/9/2010","5:47","4",,"Fired Upon","Internationa Waters (Indian Ocean)","Seychelles","591","1.0833","53.1667","1","1",".",".","Off Somalia","Floyen","Panama","95","Steaming","1","1",,"3"
"5027","11/11/2010","0:45","4",,"Boarded","Internationa Waters (Arabian Sea)","India","750","17.2167","65.0167","1","1",".",".","Arabian Sea, off Somalia","BBC Orinoco","Antigua & Barbuda","58","Steaming","1","1","1","2"
"5024","11/11/2010","5:59","4",,"Fired Upon","Internationa Waters (Arabian Sea)","India","750","17.25","65.3833","1","1",".",".","(Indian Ocean), Off Somalia","Flandre","France","220","Steaming","1","1",,"3"
"5025","11/11/2010","12:15","2",,"Fired Upon","Internationa Waters (Indian Ocean)","Somalia","520","-0.8417","49.5417","1","1",".",".","Around 300 NM SE of Mogadishu, Somalia","Jolly Bianco","Italy","325","Steaming","1","1",,"3"
"5026","11/11/2010","4:35","4",,"Hijacked","Internationa Waters (Arabian Sea)","India","750","11.4333","66.0833","1","1",".",".","Indian Ocean, off Somalia","Hannibal II","Panama","95","Steaming","1","1","1","1"
"5029","11/12/2010","0:45","4",,"Boarded","Guinea","Guinea","438","9.2833","-13.9667","1","1",".",".","21nm off Conakry Pilot Station, Guinea","Torm Fox","Denmark","390","Anchored","1","2","1","2"
"5028","11/12/2010","7:01","1",,"Hijacked","Internationa Waters (Arabian Sea)","India","750","18.0425","66.0565","1","1",".",".","Arabian Sea, off Somalia","Yuan Xiang","Panama","95","Steaming","1","1","1","1"
